GRG_ID	GeneID	Approved Symbol	Approved Name	Type	Previous Symbols	Synonyms	Gene Family Tag	Gene family description	Chromosome	Accession Numbers	Enzyme IDs	Entrez Gene ID	Pubmed IDs	RefSeq IDs	UniProt ID(supplied by UniProt)	taxonomy ID	taxonomy name
GRG_113	HGNC:24464	CHST14	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14	Anabolic	D4ST1	HD4ST, D4ST-1	SULTM	Sulfotransferases, membrane-bound	15q15.1	AF401222		113189	11470797	NM_130468	Q8NCH0	9606	Homo Sapiens (Human)
GRG_114	HGNC:1970	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	Anabolic		C6ST	SULTM	Sulfotransferases, membrane-bound	3q24	BC042160		9435	10049591	NM_004267	Q9Y4C5	9606	Homo Sapiens (Human)
GRG_115	HGNC:1971	CHST3	carbohydrate (chondroitin 6) sulfotransferase 3	Anabolic		C6ST, C6ST1	SULTM	Sulfotransferases, membrane-bound	10q22.1	AB017915		9469	9883891, 9714738	NM_004273	Q7LGC8	9606	Homo Sapiens (Human)
GRG_116	HGNC:1972	CHST4	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	Anabolic		HEC-GLCNAC-6-ST, LSST	SULTM	Sulfotransferases, membrane-bound	16q22.2	AF131235		10164	10330415	NM_005769	Q8NCG5	9606	Homo Sapiens (Human)
GRG_117	HGNC:1973	CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	Anabolic		I-GLCNAC-6-ST, FLJ22167	SULTM	Sulfotransferases, membrane-bound	16q23.1	AF176839		23563	10491328, 11017086	NM_012126	Q9GZS9	9606	Homo Sapiens (Human)
GRG_118	HGNC:6938	CHST6	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6	Anabolic	MCDC1		SULTM	Sulfotransferases, membrane-bound	16q22	AF280086		4166	8644739, 11017086	NM_021615	Q9GZX3	9606	Homo Sapiens (Human)
GRG_119	HGNC:13817	CHST7	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	Anabolic		C6ST-2, C6ST2	SULTM	Sulfotransferases, membrane-bound	Xp11.3	AB040711		56548	10781596	NM_019886	Q9NS84	9606	Homo Sapiens (Human)
GRG_120	HGNC:15993	CHST8	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	Anabolic		GALNAC-4-ST1	SULTM	Sulfotransferases, membrane-bound	19q13.1	AB047801		64377	10988300, 11001942	NM_022467	Q9H2A9	9606	Homo Sapiens (Human)
GRG_121	HGNC:19898	CHST9	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	Anabolic		GALNAC4ST-2, GALNAC-4-ST2	SULTM	Sulfotransferases, membrane-bound	18q11.2	AF239821		83539	11139592, 11445554	NM_031422	Q7L1S5	9606	Homo Sapiens (Human)
GRG_122	HGNC:17198	CHSY1	chondroitin sulfate synthase 1	Anabolic		KIAA0990, CSS1	B3GT, B4GT	Beta 3-glycosyltransferases, Beta 4-glycosyltransferases	15q26.3	AB023207	2.4.1.175, 2.4.1.226	22856	11514575	NM_014918	Q86X52	9606	Homo Sapiens (Human)
GRG_123	HGNC:24293	CHSY3	chondroitin sulfate synthase 3	Anabolic		CSS3, CHSY-2	B3GT, B4GT	Beta 3-glycosyltransferases, Beta 4-glycosyltransferases	5q13	AB086062	2.4.1.175, 2.4.1.226	337876	12907687	NM_175856	Q70JA7	9606	Homo Sapiens (Human)
GRG_124	HGNC:29270	CHPF2	chondroitin polymerizing factor 2	Anabolic		KIAA1402, ChSy-3, CSGlcA-T	B3GT, B4GT	Beta 3-glycosyltransferases, Beta 4-glycosyltransferases	7q36.1	AB037823	2.4.1.226	54480	10718198, 12145278, 18316376	NM_019015	Q9P2E5	9606	Homo Sapiens (Human)
GRG_125	HGNC:2664	DAD1	defender against cell death 1	Anabolic		OST2			14q11.2	AK223129		1603		NM_001344	P61803	9606	Homo Sapiens (Human)
GRG_126	HGNC:2728	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)	Anabolic		OST, KIAA0115, OST48, WBP1			1p36.1	D29643	2.4.1.119	1650	9367678	NM_005216	P39656	9606	Homo Sapiens (Human)
GRG_127	HGNC:20603	DHDDS	dehydrodolichyl diphosphate synthase	Anabolic		HDS, FLJ13102, DS, RP59			1p35.3	AK023164		79947	12591616	NM_024887	Q86SQ9	9606	Homo Sapiens (Human)
GRG_128	HGNC:29565	DOLPP1	dolichyldiphosphatase 1	Anabolic		LSFR2			9q34.1	BC009493	3.6.1.43	57171	10369878, 12198133	NM_020438	Q86YN1	9606	Homo Sapiens (Human)
GRG_129	HGNC:2995	DPAGT1	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)	Anabolic	DPAGT2, DPAGT	GPT, D11S366, DGPT, ALG7, CDG-Ij			11q23.3	Z82022	2.7.8.15	1798	8244387	NM_001382	Q9H3H5	9606	Homo Sapiens (Human)
GRG_130	HGNC:3005	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	Anabolic		MPDS, CDGIE	GLT2	Glycosyltransferase family 2 domain containing	20q13.1	AF007875	2.4.1.83	8813	9223280, 9535917	NM_003859	O60762	9606	Homo Sapiens (Human)
GRG_131	HGNC:3006	DPM2	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	Anabolic		MGC21559, MGC111193			9q34.13	AB013361		8818	9724629	NM_003863	O94777	9606	Homo Sapiens (Human)
GRG_132	HGNC:3007	DPM3	dolichyl-phosphate mannosyltransferase polypeptide 3	Anabolic		MGC34275, MGC125904, MGC125905			1q22	AB028128		54344	10835346	NM_153741	Q9P2X0	9606	Homo Sapiens (Human)
GRG_133	HGNC:3512	EXT1	exostosin glycosyltransferase 1	Anabolic	LGCR, LGS	ttv	EXT	Exostosin glycosyltransferase family	8q24.11	S79639	2.4.1.224, 2.4.1.225	2131		NM_000127	Q16394	9606	Homo Sapiens (Human)
GRG_134	HGNC:3513	EXT2	exostosin glycosyltransferase 2	Anabolic		SOTV	EXT	Exostosin glycosyltransferase family	11p12-p11		2.4.1.224, 2.4.1.225	2132	8162019, 9576285	NM_000401	Q93063	9606	Homo Sapiens (Human)
GRG_135	HGNC:3515	EXTL1	exostosin-like glycosyltransferase 1	Anabolic		EXTL, MGC70794	EXT	Exostosin glycosyltransferase family	1p36.1	U67191	2.4.1.224	2134	9037597	NM_004455	Q92935	9606	Homo Sapiens (Human)
GRG_136	HGNC:3516	EXTL2	exostosin-like glycosyltransferase 2	Anabolic			EXT	Exostosin glycosyltransferase family	1p21	U76189	2.4.1.223	2135	9450183, 15831490	NM_001439	Q9UBQ6	9606	Homo Sapiens (Human)
GRG_137	HGNC:3518	EXTL3	exostosin-like glycosyltransferase 3	Anabolic		botv, REGR	EXT	Exostosin glycosyltransferase family	8p22-p12	U76188	2.4.1.223	2137	9479495, 9450183, 11257457	NM_001440	O43909	9606	Homo Sapiens (Human)
GRG_138	HGNC:3622	FKTN	fukutin	Anabolic	FCMD	LGMD2M			9q31-q33			2218	8275093, 17036286, 17044012	NM_006731	O75072	9606	Homo Sapiens (Human)
GRG_139	HGNC:17997	FKRP	fukutin related protein	Anabolic		LGMD2I, MDC1C			19q13.32	AJ314847		79147	11592034, 11741828	NM_024301	Q9H9S5	9606	Homo Sapiens (Human)
GRG_140	HGNC:4012	FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)	Anabolic	H, HSC		bloodgroup, FUT	Blood group antigens, Fucosyltransferases	19q13.33		2.4.1.69	2523		NM_000148	P19526	9606	Homo Sapiens (Human)
GRG_141	HGNC:19234	FUT10	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)	Anabolic			FUT	Fucosyltransferases	8p12	AJ512465		84750		NM_032664	Q6P4F1	9606	Homo Sapiens (Human)
GRG_142	HGNC:19233	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)	Anabolic		MGC33202	FUT	Fucosyltransferases	10q22.3	BC036037		170384	11698403, 24318988	NM_173540	Q495W5	9606	Homo Sapiens (Human)
GRG_143	HGNC:4013	FUT2	fucosyltransferase 2 (secretor status included)	Anabolic	SE	sej, Se2, SEC2	FUT	Fucosyltransferases	19q13.33			2524	1763885	NM_000511	Q10981	9606	Homo Sapiens (Human)
GRG_144	HGNC:4014	FUT3	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)	Anabolic	LE	CD174	CD, bloodgroup, FUT	CD molecules, Blood group antigens, Fucosyltransferases	19p13.3		2.4.1.65	2525	1977660, 1740457	NM_000149	P21217	9606	Homo Sapiens (Human)
GRG_145	HGNC:4015	FUT4	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	Anabolic	CD15, FCT3A, ELFT	FUC-TIV	CD, FUT	CD molecules, Fucosyltransferases	11q21			2526	1702034	NM_002033	P22083	9606	Homo Sapiens (Human)
GRG_146	HGNC:4016	FUT5	fucosyltransferase 5 (alpha (1,3) fucosyltransferase)	Anabolic		FUC-TV	FUT	Fucosyltransferases	19p13.3		2.4.1.65	2527	1740457	NM_002034	Q11128	9606	Homo Sapiens (Human)
GRG_147	HGNC:4017	FUT6	fucosyltransferase 6 (alpha (1,3) fucosyltransferase)	Anabolic		FT1A, FCT3A, FucT-VI, FLJ40754	FUT	Fucosyltransferases	19p13.3		2.4.1.65	2528	1520296, 7782074	NM_000150	P51993	9606	Homo Sapiens (Human)
GRG_148	HGNC:4018	FUT7	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)	Anabolic			FUT	Fucosyltransferases	9q34.3	X78031, AB012668		2529	8207002, 8182079	NM_004479	Q11130	9606	Homo Sapiens (Human)
GRG_149	HGNC:4019	FUT8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	Anabolic			FUT	Fucosyltransferases	14q24.3	AB049740		2530	9368041	NM_004480	Q9BYC5	9606	Homo Sapiens (Human)
GRG_150	HGNC:4020	FUT9	fucosyltransferase 9 (alpha (1,3) fucosyltransferase)	Anabolic		Fuc-TIX	FUT	Fucosyltransferases	6q16	AB023021		10690	10386598, 10575236	NM_006581	Q9Y231	9606	Homo Sapiens (Human)
GRG_151	HGNC:24240	GAL3ST1	galactose-3-O-sulfotransferase 1	Anabolic		CST	SULTM	Sulfotransferases, membrane-bound	22q12.2	D88667		9514	9847074, 9030544	NM_004861	Q99999	9606	Homo Sapiens (Human)
GRG_152	HGNC:24869	GAL3ST2	galactose-3-O-sulfotransferase 2	Anabolic		GP3ST	SULTM	Sulfotransferases, membrane-bound	2q37.2	AB040610		64090	11029462	NM_022134	Q9H3Q3	9606	Homo Sapiens (Human)
GRG_153	HGNC:24144	GAL3ST3	galactose-3-O-sulfotransferase 3	Anabolic		GAL3ST2	SULTM	Sulfotransferases, membrane-bound	11q13.1	AY026481		89792	11323440, 11356829	NM_033036	Q96A11	9606	Homo Sapiens (Human)
GRG_154	HGNC:24145	GAL3ST4	galactose-3-O-sulfotransferase 4	Anabolic		FLJ12116	SULTM	Sulfotransferases, membrane-bound	7q22.1	AF316113		79690	11333265	NM_024637	Q96RP7	9606	Homo Sapiens (Human)
GRG_155	HGNC:18137	CHST15	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15	Anabolic		GALNAC4S-6ST, BRAG, KIAA0598	SULTM	Sulfotransferases, membrane-bound	10q26	AB011170	2.8.2.33	51363	9628581, 9754571, 11572857	NM_015892	Q7LFX5	9606	Homo Sapiens (Human)
GRG_156	HGNC:4123	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	Anabolic		GalNAc-T1	GLT2	Glycosyltransferase family 2 domain containing	18q12.1		2.4.1.41	2589	7592619, 12199709	NM_020474	Q10472	9606	Homo Sapiens (Human)
GRG_157	HGNC:19873	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	Anabolic		GalNAc-T10	GLT2	Glycosyltransferase family 2 domain containing	5q34	AK023782	2.4.1.41	55568	12417297	NM_198321	Q86SR1	9606	Homo Sapiens (Human)
GRG_158	HGNC:19875	GALNT11	:polypeptide N-acetylgalactosaminyltransferase 11	Anabolic		GalNAc-T11	GLT2	Glycosyltransferase family 2 domain containing	7q36.1	AC006017	2.4.1.41	63917	11925450	NM_022087	Q8NCW6	9606	Homo Sapiens (Human)
GRG_159	HGNC:19877	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12	Anabolic		GalNAc-T12	GLT2	Glycosyltransferase family 2 domain containing	9q22.33	AB078146	2.4.1.41	79695	12135769	NM_024642	Q8IXK2	9606	Homo Sapiens (Human)
GRG_160	HGNC:23242	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13	Anabolic		KIAA1918, GalNAc-T13	GLT2	Glycosyltransferase family 2 domain containing	2q24.1	AB067505	2.4.1.41	114805	11572484, 12407114	NM_052917	Q8IUC8	9606	Homo Sapiens (Human)
GRG_161	HGNC:22946	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	Anabolic		GalNac-T10, FLJ12691, GalNac-T14	GLT2	Glycosyltransferase family 2 domain containing	2p23.2	AB078144	2.4.1.41	79623	12507512	NM_024572	Q96FL9	9606	Homo Sapiens (Human)
GRG_162	HGNC:33844	GALNTL6	polypeptide N-acetylgalactosaminyltransferase-like 6	Anabolic		GALNT17, GalNAc-T6L	GLT2	Glycosyltransferase family 2 domain containing	4q34.1			442117		NM_001034845	Q49A17	9606	Homo Sapiens (Human)
GRG_163	HGNC:4124	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	Anabolic		GalNAc-T2	GLT2	Glycosyltransferase family 2 domain containing	1q41-q42	BC041120	2.4.1.41	2590	9592121, 7592619	NM_004481	Q10471	9606	Homo Sapiens (Human)
GRG_164	HGNC:4125	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	Anabolic		GalNAc-T3, HHS, HFTC	GLT2	Glycosyltransferase family 2 domain containing	2q24-q31		2.4.1.41	2591	9592121, 15133511	NM_004482	Q14435	9606	Homo Sapiens (Human)
GRG_165	HGNC:4126	GALNT4	polypeptide N-acetylgalactosaminyltransferase 4	Anabolic		GalNAc-T4	GLT2	Glycosyltransferase family 2 domain containing	12q21.33	Y08564	2.4.1.41	8693	9804815	NM_003774	Q8N4A0	9606	Homo Sapiens (Human)
GRG_166	HGNC:4127	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	Anabolic		GalNAc-T5	GLT2	Glycosyltransferase family 2 domain containing	2q24.1	AJ245539	2.4.1.41	11227	10545594	NM_014568	Q7Z7M9	9606	Homo Sapiens (Human)
GRG_167	HGNC:4128	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	Anabolic		GalNAc-T6	GLT2	Glycosyltransferase family 2 domain containing	12q13	Y08565		11226	10464263	NM_007210	Q8NCL4	9606	Homo Sapiens (Human)
GRG_168	HGNC:4129	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	Anabolic		GALNAC-T7	GLT2	Glycosyltransferase family 2 domain containing	4q31.1	AJ002744		51809	10544240	NM_017423	Q86SF2	9606	Homo Sapiens (Human)
GRG_169	HGNC:4130	GALNT8	polypeptide N-acetylgalactosaminyltransferase 8	Anabolic		GALNAC-T8	GLT2	Glycosyltransferase family 2 domain containing	12p13.32	AJ271385	2.4.1.41	26290	10767557	NM_017417	Q9NY28	9606	Homo Sapiens (Human)
GRG_170	HGNC:4131	GALNT9	polypeptide N-acetylgalactosaminyltransferase 9	Anabolic		GALNAC-T9	GLT2	Glycosyltransferase family 2 domain containing	12q24.33	AB040672	2.4.1.41	50614	10978536, 12407114	NM_001122636	Q9HCQ5	9606	Homo Sapiens (Human)
GRG_171	HGNC:23233	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	Anabolic	GALNTL1	KIAA1130, GalNAc-T16	GLT2	Glycosyltransferase family 2 domain containing	14q24.1	AB032956	2.4.1.41	57452	10574461, 22186971	NM_001168368	Q8N428	9606	Homo Sapiens (Human)
GRG_172	HGNC:21531	GALNT15	polypeptide N-acetylgalactosaminyltransferase 15	Anabolic	GALNTL2	GALNT7, pp-GalNAc-T15	GLT2	Glycosyltransferase family 2 domain containing	3p25.1	AY358443	2.4.1.41	117248	12975309, 14702039, 15147861	NM_054110	Q8N3T1	9606	Homo Sapiens (Human)
GRG_173	HGNC:30488	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	Anabolic	GALNTL4	MGC71806, GALNT15, GalNAc-T18	GLT2	Glycosyltransferase family 2 domain containing	11p15	AK055111	2.4.1.41	374378	22186971	NM_198516	Q6P9A2	9606	Homo Sapiens (Human)
GRG_174	HGNC:21725	GALNTL5	polypeptide N-acetylgalactosaminyltransferase-like 5	Anabolic	GALNT15	GalNAc-T5L	GLT2	Glycosyltransferase family 2 domain containing	7q36.2	AF440400		168391		NM_145292	Q7Z4T8	9606	Homo Sapiens (Human)
GRG_175	HGNC:20460	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	Anabolic		UDP-GalNAc, A3GALNT, MGC44848, FS	GLT6	Glycosyltransferase family 6 domain containing	9q34.13-q34.3	AY358175		26301	10506200, 8855242	NM_021996	Q8N5D6	9606	Homo Sapiens (Human)
GRG_176	HGNC:4203	GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2	Anabolic	NACGT2	C2GNT, NAGCT2	GCNT	Glucosaminyl (N-acetyl) transferase and xylosyltransferase family	9q13	L41415	2.4.1.102	2650	8449405, 9915862	NM_001097634	Q02742	9606	Homo Sapiens (Human)
GRG_177	HGNC:4204	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	Anabolic	NACGT1, II, GCNT5, CCAT	IGNT, NAGCT1, bA421M1.1, bA360O19.2, ULG3	bloodgroup, GCNT	Blood group antigens, Glucosaminyl (N-acetyl) transferase and xylosyltransferase family	6p24.2	L41605	2.4.1.150	2651	8449405, 9915862	NM_145649	Q06430	9606	Homo Sapiens (Human)
GRG_178	HGNC:4205	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type	Anabolic		C2GnT-M, C2/4GnT, C2GnT2	GCNT	Glucosaminyl (N-acetyl) transferase and xylosyltransferase family	15q22	AF102542	2.4.1.102, 2.4.1.150	9245	9915862, 9988682	NM_004751	O95395	9606	Homo Sapiens (Human)
GRG_179	HGNC:17973	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2	Anabolic		C2GNT3	GCNT	Glucosaminyl (N-acetyl) transferase and xylosyltransferase family	5q12	AF132035	2.4.1.102	51301	10753916	NM_016591	Q9P109	9606	Homo Sapiens (Human)
GRG_180	HGNC:21623	GCNT6	glucosaminyl (N-acetyl) transferase 6	Anabolic		bA421M1.3	GCNT	Glucosaminyl (N-acetyl) transferase and xylosyltransferase family	6p24.2			644378			Q5T4J0	9606	Homo Sapiens (Human)
GRG_181	HGNC:16099	GCNT7	glucosaminyl (N-acetyl) transferase family member 7	Anabolic	C20orf105	dJ1153D9.2	GCNT	Glucosaminyl (N-acetyl) transferase and xylosyltransferase family	20q13.2	AL109806, AK131203		140687		NM_080615	Q6ZNI0	9606	Homo Sapiens (Human)
GRG_182	HGNC:4253	GGTA1P	glycoprotein, alpha-galactosyltransferase 1 pseudogene	Anabolic	GLYT2, GGTA, GGTA1		9q33.2			2681	NR_003191			Q4G0N0	MGI:95704	9606	Homo Sapiens (Human)
GRG_183	HGNC:29670	GNPTAB	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	Anabolic	GNPTA	KIAA1208, MGC4170	EFHAND	EF-hand domain containing	12q23.3	AY687932		79158	10574462, 16116615		Q3T906	9606	Homo Sapiens (Human)
GRG_184	HGNC:23026	GNPTG	N-acetylglucosamine-1-phosphate transferase, gamma subunit	Anabolic	GNPTAG, C16orf27	CAB56184, c316G12.3			16p13.3	BC014592		84572	10712439	NM_032520	Q9UJJ9	9606	Homo Sapiens (Human)
GRG_185	HGNC:4446	GPAA1	glycosylphosphatidylinositol anchor attachment 1	Anabolic		GAA1, hGAA1			8q24.3	AB006969		8733	9828142	NM_003801	O43292	9606	Homo Sapiens (Human)
GRG_186	HGNC:16522	GYLTL1B	glycosyltransferase-like 1B	Anabolic		PP5656, FLJ35207, LARGE2	GLT8	Glycosyltransferase family 8 domain containing	11p11.12			120071	15661757, 15958417	NM_152312	Q8N3Y3	9606	Homo Sapiens (Human)
GRG_187	HGNC:4818	HAS1	hyaluronan synthase 1	Anabolic	HAS		GLT2	Glycosyltransferase family 2 domain containing	19q13.3-q13.4	U59269	2.4.1.212	3036	9169154	NM_001523	Q92839	9606	Homo Sapiens (Human)
GRG_188	HGNC:4819	HAS2	hyaluronan synthase 2	Anabolic			GLT2	Glycosyltransferase family 2 domain containing	8q24.12	U54804	2.4.1.212	3037	9169154	NM_005328	Q92819	9606	Homo Sapiens (Human)
GRG_189	HGNC:4820	HAS3	hyaluronan synthase 3	Anabolic			GLT2	Glycosyltransferase family 2 domain containing	16q22.1	BC021853	2.4.1.212	3038	9169154, 9083017	NM_138612	O00219	9606	Homo Sapiens (Human)
GRG_190	HGNC:26527	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase	Anabolic	TMEM76	FLJ32731, HGNAT			8p11.1		2.3.1.78	138050	17033958, 16960811	XM_372038	Q68CP4	9606	Homo Sapiens (Human)
GRG_191	HGNC:5193	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	Anabolic		KIAA0448	SULTM	Sulfotransferases, membrane-bound	1p22.3	AB007917		9653	9455484	NM_012262	Q7LGA3	9606	Homo Sapiens (Human)
GRG_192	HGNC:5194	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	Anabolic		3OST1	SULTM	Sulfotransferases, membrane-bound	4p16	AF019386	2.8.2.23	9957	9988767	NM_005114	O14792	9606	Homo Sapiens (Human)
GRG_193	HGNC:5195	HS3ST2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2	Anabolic		3OST2	SULTM	Sulfotransferases, membrane-bound	16p12	AF105374	2.8.2.23	9956	9988767	NM_006043	Q9Y278	9606	Homo Sapiens (Human)
GRG_194	HGNC:5196	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	Anabolic		3OST3A1, 30ST3A1	SULTM	Sulfotransferases, membrane-bound	17p12	AF105376	2.8.2.23	9955	9988767	NM_006042	Q9Y663	9606	Homo Sapiens (Human)
GRG_195	HGNC:5198	HS3ST3B1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	Anabolic		3OST3B1, 30ST3B1	SULTM	Sulfotransferases, membrane-bound	17p12	AF105377	2.8.2.23	9953	9988767	NM_006041	Q9Y662	9606	Homo Sapiens (Human)
GRG_196	HGNC:5200	HS3ST4	heparan sulfate (glucosamine) 3-O-sulfotransferase 4	Anabolic		3OST4	SULTM	Sulfotransferases, membrane-bound	16p11.2	AF105378	2.8.2.23	9951	9988767	NM_006040	Q9Y661	9606	Homo Sapiens (Human)
GRG_197	HGNC:19419	HS3ST5	heparan sulfate (glucosamine) 3-O-sulfotransferase 5	Anabolic		3-OST-5	SULTM	Sulfotransferases, membrane-bound	6q21	AF503292		222537	12138164	NM_153612	Q8IZT8	9606	Homo Sapiens (Human)
GRG_198	HGNC:5201	HS6ST1	heparan sulfate 6-O-sulfotransferase 1	Anabolic	HS6ST		SULTM	Sulfotransferases, membrane-bound	2q21	AB006179		9394	9535912	NM_004807	O60243	9606	Homo Sapiens (Human)
GRG_199	HGNC:19133	HS6ST2	heparan sulfate 6-O-sulfotransferase 2	Anabolic			SULTM	Sulfotransferases, membrane-bound	Xq26.2	AB067776		90161	10644753	NM_147174	Q96MM7	9606	Homo Sapiens (Human)
GRG_200	HGNC:19134	HS6ST3	heparan sulfate 6-O-sulfotransferase 3	Anabolic			SULTM	Sulfotransferases, membrane-bound	13q32.2	AF539426		266722		NM_153456	Q8IZP7	9606	Homo Sapiens (Human)
GRG_201	HGNC:6511	LARGE	like-glycosyltransferase	Anabolic		KIAA0609	GLT8	Glycosyltransferase family 8 domain containing	22q12.3	AJ007583		9215	9892679, 10591208, 12966029	NM_133642	O95461	9606	Homo Sapiens (Human)
GRG_202	HGNC:6560	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	Anabolic		SCDO3	B3GT	Beta 3-glycosyltransferases	7p22.3	BC014851	2.4.1.222	3955	9878264, 9187150	NM_002304	Q8NES3	9606	Homo Sapiens (Human)
GRG_203	HGNC:7038	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	Anabolic			B3GT	Beta 3-glycosyltransferases	22q13.1	BC094814	2.4.1.222	4242	9878264, 9187150	NM_002405	O00587	9606	Homo Sapiens (Human)
GRG_204	HGNC:7044	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	Anabolic	MGAT, GLYT1	GNT-1, GLCNAC-TI	MGAT	Mannosyl-glycoprotein beta N-acetylglucosaminyltransferases	5q35.3	M61829	2.4.1.101	4245	1827260	NM_001114618	P26572	9606	Homo Sapiens (Human)
GRG_205	HGNC:7045	MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	Anabolic		GNT-II	MGAT	Mannosyl-glycoprotein beta N-acetylglucosaminyltransferases	14q21	U15128	2.4.1.143	4247	7635144	NM_002408	Q10469	9606	Homo Sapiens (Human)
GRG_206	HGNC:7046	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	Anabolic		GNT-III	MGAT	Mannosyl-glycoprotein beta N-acetylglucosaminyltransferases	22q13.1	D13789	2.4.1.144	4248	8370666	NM_002409	Q09327	9606	Homo Sapiens (Human)
GRG_207	HGNC:7047	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	Anabolic		GnT-Iva, GnT-4a	MGAT	Mannosyl-glycoprotein beta N-acetylglucosaminyltransferases	2q12	AB000616	2.4.1.145	11320	10024668	NM_012214	Q9UM21	9606	Homo Sapiens (Human)
GRG_208	HGNC:7048	MGAT4B	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B	Anabolic		GnT-Ivb	MGAT	Mannosyl-glycoprotein beta N-acetylglucosaminyltransferases	5q35	AB000624	2.4.1.145	11282	10372966	NM_014275	Q9UQ53	9606	Homo Sapiens (Human)
GRG_209	HGNC:30871	MGAT4C	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)	Anabolic		HGNT-IV-H	MGAT	Mannosyl-glycoprotein beta N-acetylglucosaminyltransferases	12q21			25834	10570912	NM_013244	Q9UBM8	9606	Homo Sapiens (Human)
GRG_210	HGNC:7049	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	Anabolic		GNT-V	MGAT	Mannosyl-glycoprotein beta N-acetylglucosaminyltransferases	2q21	D17716	2.4.1.155	4249	8292036	NM_002410	Q09328	9606	Homo Sapiens (Human)
GRG_211	HGNC:24140	MGAT5B	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B	Anabolic		GnT-IX, FLJ25132, GnT-VB	MGAT	Mannosyl-glycoprotein beta N-acetylglucosaminyltransferases	17q25.3	AB109185		146664	14617637, 14623122	NM_144677	Q3V5L5	9606	Homo Sapiens (Human)
